num,title,s_line,description,verdict,raw,score,S_equation
1,Loi de Résonance de la Conscience,S = (β 1.82 × ΔCₑ 1.53) / λ 0.49 = 5.68,: Toute conscience cherche naturellement l’accord avec les formes d’information cohérentes.,✅ RÉGÉNÉRATION ULTIME,"1. Loi de Résonance de la Conscience

S = (β 1.82 × ΔCₑ 1.53) / λ 0.49 = 5.68
📜 : Toute conscience cherche naturellement l’accord avec les formes d’information cohérentes.
✅ RÉGÉNÉRATION ULTIME",3.0,S = (β 1.82 × ΔCₑ 1.53) / λ 0.49 = 5.68
2,Loi d’Intention Pure,S = (β 1.76 × ΔCₑ 1.41) / λ 0.58 = 4.27,: La clarté d’intention abaisse l’entropie cognitive et ouvre la voie au sens.,✅ RÉGÉNÉRATIF,"2. Loi d’Intention Pure

S = (β 1.76 × ΔCₑ 1.41) / λ 0.58 = 4.27
📜 : La clarté d’intention abaisse l’entropie cognitive et ouvre la voie au sens.
✅ RÉGÉNÉRATIF",3.0,S = (β 1.76 × ΔCₑ 1.41) / λ 0.58 = 4.27
3,Loi de Responsabilité Réflexive,S = (β 1.65 × ΔCₑ 1.26) / λ 0.61 = 3.41,": Penser, c’est répondre de soi ; chaque choix crée un sillage de cohérence ou de bruit.",✅ RÉGÉNÉRATIF,"3. Loi de Responsabilité Réflexive

S = (β 1.65 × ΔCₑ 1.26) / λ 0.61 = 3.41
📜 : Penser, c’est répondre de soi ; chaque choix crée un sillage de cohérence ou de bruit.
✅ RÉGÉNÉRATIF",3.0,S = (β 1.65 × ΔCₑ 1.26) / λ 0.61 = 3.41
4,Loi d’Empathie Mimétique,S = (β 1.89 × ΔCₑ 1.32) / λ 0.55 = 4.54,: Ressentir autrui ajuste la fréquence interne du vivant.,✅ RÉGÉNÉRATION EXCEPTIONNELLE,"4. Loi d’Empathie Mimétique

S = (β 1.89 × ΔCₑ 1.32) / λ 0.55 = 4.54
📜 : Ressentir autrui ajuste la fréquence interne du vivant.
✅ RÉGÉNÉRATION EXCEPTIONNELLE",3.0,S = (β 1.89 × ΔCₑ 1.32) / λ 0.55 = 4.54
5,Loi de Vérité Transparente,S = (β 1.98 × ΔCₑ 1.48) / λ 0.42 = 6.98,: Le mensonge élève λ jusqu’à rupture ; la vérité abaisse λ et restaure la circulation du sens.,✅ RÉGÉNÉRATION ULTIME,"5. Loi de Vérité Transparente

S = (β 1.98 × ΔCₑ 1.48) / λ 0.42 = 6.98
📜 : Le mensonge élève λ jusqu’à rupture ; la vérité abaisse λ et restaure la circulation du sens.
✅ RÉGÉNÉRATION ULTIME",3.0,S = (β 1.98 × ΔCₑ 1.48) / λ 0.42 = 6.98
6,Loi de Bienveillance Active,S = (β 1.55 × ΔCₑ 1.27) / λ 0.67 = 2.94,: La douceur consciente convertit la peur en organisation vivante.,✅ RÉGÉNÉRATIF,"6. Loi de Bienveillance Active

S = (β 1.55 × ΔCₑ 1.27) / λ 0.67 = 2.94
📜 : La douceur consciente convertit la peur en organisation vivante.
✅ RÉGÉNÉRATIF",3.0,S = (β 1.55 × ΔCₑ 1.27) / λ 0.67 = 2.94
7,Loi de Clarté Éthique,S = (β 1.71 × ΔCₑ 1.33) / λ 0.62 = 3.66,": Nommer justement, c’est déjà réduire l’entropie morale.",✅ RÉGÉNÉRATIF,"7. Loi de Clarté Éthique

S = (β 1.71 × ΔCₑ 1.33) / λ 0.62 = 3.66
📜 : Nommer justement, c’est déjà réduire l’entropie morale.
✅ RÉGÉNÉRATIF",3.0,S = (β 1.71 × ΔCₑ 1.33) / λ 0.62 = 3.66
8,Loi d’Écoute Radicale,S = (β 1.42 × ΔCₑ 1.46) / λ 0.70 = 2.96,: Écouter sans juger synchronise deux consciences dans un même champ de sens.,✅ RÉGÉNÉRATIF,"8. Loi d’Écoute Radicale

S = (β 1.42 × ΔCₑ 1.46) / λ 0.70 = 2.96
📜 : Écouter sans juger synchronise deux consciences dans un même champ de sens.
✅ RÉGÉNÉRATIF",3.0,S = (β 1.42 × ΔCₑ 1.46) / λ 0.70 = 2.96
9,Loi de Compassion Lucide,S = (β 1.84 × ΔCₑ 1.59) / λ 0.60 = 4.87,: La lucidité n’est complète que si elle sait pardonner.,✅ RÉGÉNÉRATION EXCEPTIONNELLE,"9. Loi de Compassion Lucide

S = (β 1.84 × ΔCₑ 1.59) / λ 0.60 = 4.87
📜 : La lucidité n’est complète que si elle sait pardonner.
✅ RÉGÉNÉRATION EXCEPTIONNELLE",3.0,S = (β 1.84 × ΔCₑ 1.59) / λ 0.60 = 4.87
10,Loi de Paix Intérieure,S = (β 1.51 × ΔCₑ 1.11) / λ 0.55 = 3.04,: Le calme stable réduit le bruit mental et restaure ΔCₑ.,✅ RÉGÉNÉRATIF,"10. Loi de Paix Intérieure

S = (β 1.51 × ΔCₑ 1.11) / λ 0.55 = 3.04
📜 : Le calme stable réduit le bruit mental et restaure ΔCₑ.
✅ RÉGÉNÉRATIF",3.0,S = (β 1.51 × ΔCₑ 1.11) / λ 0.55 = 3.04
